SVC_REQUEST_NUMBER,WORKORDER_NUMBER,WORKORDER_ACTIVITY_CODE,WORKORDER_ACTIVITY_DESCRIPTION,WORKORDER_STARTED,WORKORDER_COMPLETED,WORKORDER_ADDED,TIME_STAMP
1047116,1038862,SA25,REPAIR CONNECTION,,,2009-04-19T14:22:41.000,2019-10-01T00:45:07.000
1059664,1054581,SA25,REPAIR CONNECTION,,,2009-05-18T13:55:09.000,2019-10-01T00:45:07.000
1088352,1060372,SA25,REPAIR CONNECTION,,,2009-06-02T15:20:21.000,2019-10-01T00:45:07.000
1401968,1274263,SA25,REPAIR CONNECTION,,,2010-08-17T08:00:02.000,2020-04-16T00:45:03.000
186058671,843219920,SCC,CLEAN CATCH BASIN/INLET,2020-01-09T08:55:00.000,2020-01-09T09:45:00.000,2020-02-19T12:01:08.000,2020-02-20T00:45:01.000
185393372,842437073,SA26,REPLACE MANHOLE CASTING,2020-03-07T11:15:00.000,2020-03-07T13:30:00.000,2016-03-22T08:28:15.000,2020-04-15T00:45:04.000
185679684,842819953,SA26,REPLACE MANHOLE CASTING,,,2017-12-22T19:59:15.000,2019-07-12T00:45:56.000
185899209,843041080,SCCP,RESET CURB PIECE,2020-03-13T10:40:00.000,2020-03-13T11:00:00.000,2019-03-18T13:55:48.000,2020-04-20T00:45:03.000
185983169,843114108,SA21,REPLACE CURB PIECE,2020-01-03T00:15:00.000,2020-01-03T02:45:00.000,2019-08-07T10:00:21.000,2020-01-12T00:45:01.000
1618072,1418784,SRB,REPAIR SEWER BREAK (CONTRACT.),,2021-01-14T16:17:00.000,2011-05-19T09:58:01.000,2021-01-15T00:45:01.000
185959815,843101415,SA24,REPAIR BASIN-MAJOR,2019-12-13T08:00:00.000,2019-12-13T13:30:00.000,2019-06-29T23:25:53.000,2019-12-15T00:45:10.000
186026743,843154182,WA09,REPAIR VALVE- NOTE SIZE,2019-11-18T07:00:00.000,2019-11-24T15:00:00.000,2019-10-19T10:29:04.000,2019-12-10T00:45:02.000
185813317,842962521,SA26,REPLACE MANHOLE CASTING,2019-05-05T08:00:00.000,2019-05-05T14:00:00.000,2018-09-11T16:13:56.000,2019-05-09T00:45:08.000
185851241,843001110,WA02,REPAIR HYDRANT-MAJOR,2019-05-11T08:00:00.000,2019-05-11T14:00:00.000,2018-12-05T11:24:42.000,2019-05-13T00:45:10.000
186037881,843165481,WA04,REPAIR INOPERATIVE HYDRANT,2020-01-06T10:30:00.000,2020-01-06T11:15:00.000,2019-11-11T06:01:35.000,2020-01-13T00:45:02.000
