SVC_REQUEST_NUMBER,WORKORDER_NUMBER,WORKORDER_ACTIVITY_CODE,WORKORDER_ACTIVITY_DESCRIPTION,WORKORDER_STARTED,WORKORDER_COMPLETED,WORKORDER_ADDED,TIME_STAMP
185875594,843048426,SGS,GUNITE SEWER,2019-05-11T00:00:00.000,2019-05-18T00:00:00.000,2019-04-06T15:25:42.000,2019-06-26T00:45:06.000
185907027,843085768,WA06R,REPAIR LEAKING VALVE,2019-06-06T08:25:00.000,2019-06-06T10:00:00.000,2019-03-31T09:46:13.000,2019-06-17T00:45:08.000
185861674,843013662,SGM,GUNITE MANHOLE,2019-11-24T00:00:00.000,2019-11-24T00:00:00.000,2019-01-10T12:11:48.000,2019-12-15T00:45:10.000
185763142,842907093,WA10,RESET/REPLACE VALVE BOX,2019-07-01T19:00:00.000,2019-07-01T20:00:00.000,2018-06-12T14:39:47.000,2019-07-06T00:45:08.000
185935007,843082321,WA12Z,OTHER REPAIR,2019-06-01T08:00:00.000,2019-06-01T13:30:00.000,2019-05-26T18:01:06.000,2019-07-02T00:45:13.000
185877083,843022297,SA26,REPLACE MANHOLE CASTING,2019-05-17T02:40:00.000,2019-05-17T05:15:00.000,2019-02-04T17:24:54.000,2019-05-20T00:45:09.000
185777910,842930101,SA23,REPAIR BASIN-MINOR,,2019-07-12T00:00:00.000,2018-07-08T13:56:05.000,2019-07-15T00:45:06.000
1860469,1609373,WA09,REPAIR VALVE- NOTE SIZE,2019-09-10T00:00:00.000,2019-09-10T00:00:00.000,2012-04-08T11:02:45.000,2019-09-11T00:45:08.000
184857054,841833383,SA25,REPAIR CONNECTION,,,2013-06-12T19:14:10.000,2019-10-01T00:45:07.000
184865433,841880539,SA25,REPAIR CONNECTION,,,2013-08-17T20:46:15.000,2019-10-01T00:45:07.000
184874849,841883928,SA25,REPAIR CONNECTION,,,2013-08-26T10:15:50.000,2019-10-01T00:45:07.000
184909139,841885805,SA25,REPAIR CONNECTION,,,2013-08-31T15:41:47.000,2019-10-01T00:45:07.000
184998208,842047887,SA25,REPAIR CONNECTION,,,2014-04-08T14:54:08.000,2019-10-01T00:45:07.000
185994648,843122868,SS4,ENGINEERING STUDY(USE COMNTS),2020-02-02T11:10:00.000,2020-03-02T11:10:00.000,2019-08-27T09:57:11.000,2020-03-05T00:45:02.000
185921489,843073271,SRB,REPAIR SEWER BREAK (CONTRACT.),2019-05-27T00:00:00.000,2019-05-27T00:00:00.000,2019-05-07T10:22:23.000,2019-06-26T00:45:06.000
186059983,843193696,SA12R,CAVE IN RESTORATION,,,2020-01-05T12:35:17.000,2020-01-07T00:45:02.000
185932160,843076074,WL3D,ISSUE 3-DAY NOTICE,2019-05-29T09:00:00.000,2019-05-29T09:05:00.000,2019-05-14T12:50:54.000,2019-06-06T00:45:09.000
185840192,842989816,SA24,REPAIR BASIN-MAJOR,,2019-06-17T20:18:00.000,2018-11-10T11:05:47.000,2019-06-18T00:45:09.000
185932210,843075998,WL3D,ISSUE 3-DAY NOTICE,2019-05-29T08:00:00.000,2019-05-29T08:00:00.000,2019-05-14T11:34:47.000,2019-06-02T00:45:08.000
185908756,843046402,WA02,REPAIR HYDRANT-MAJOR,2019-06-06T12:00:00.000,2019-06-06T15:30:00.000,2019-04-02T11:16:00.000,2019-06-10T00:45:08.000
185840543,842989556,WA04,REPAIR INOPERATIVE HYDRANT,2019-06-17T11:00:00.000,2019-06-17T11:30:00.000,2018-11-09T15:51:16.000,2019-06-24T00:45:09.000
185886300,843035759,WA06A,SHUT TAP/WET CON. /NON-COMP.,2019-05-14T18:20:00.000,2019-05-14T22:30:00.000,2019-03-02T08:51:14.000,2019-05-20T00:45:09.000
185661520,842994606,SMRTV,REEL TV SEWER HOUSE CONNECTION,,,2018-11-20T11:38:18.000,2020-02-03T00:45:02.000
185734406,843133733,SMRTV,REEL TV SEWER HOUSE CONNECTION,2019-09-13T09:55:00.000,2019-09-13T10:30:00.000,2019-09-14T16:13:50.000,2019-09-15T00:45:10.000
185979705,843110729,WL3D,ISSUE 3-DAY NOTICE,2019-07-27T15:15:00.000,2019-08-02T14:45:00.000,2019-07-27T18:48:00.000,2019-08-22T00:45:28.000
185979537,843114191,SA12F,APPLY COLD PATCH,2019-08-11T02:30:00.000,2019-08-11T03:00:00.000,2019-08-07T11:56:37.000,2019-08-13T00:45:08.000
185888637,843039237,SA24,REPAIR BASIN-MAJOR,2008-01-20T16:00:00.000,2019-05-14T22:00:00.000,2019-03-13T10:45:56.000,2019-05-19T00:45:07.000
185812564,842964025,SA24,REPAIR BASIN-MAJOR,2019-09-01T08:00:00.000,2019-09-01T11:00:00.000,2018-09-16T12:38:53.000,2019-09-04T00:45:11.000
185953762,843104317,SA26,REPLACE MANHOLE CASTING,2020-01-04T16:30:00.000,2020-01-04T19:00:00.000,2019-07-06T17:56:49.000,2020-01-19T00:45:01.000
185837091,843086597,WA12I,APPLY HOT PATCH,2019-07-21T11:40:00.000,2019-07-21T11:51:00.000,2018-11-08T12:15:11.000,2019-07-23T00:45:09.000
185884982,843027445,SCCP,RESET CURB PIECE,2019-05-11T11:00:00.000,2019-05-11T11:30:00.000,2019-02-19T12:34:35.000,2019-05-25T00:45:09.000
185970468,843107586,WA05,REPAIR OPERATIVE HYDRANT,2019-10-01T10:00:00.000,2019-10-01T10:30:00.000,2019-07-16T13:39:09.000,2019-10-07T00:45:09.000
185889882,843052191,SGS,GUNITE SEWER,2019-04-27T00:00:00.000,2019-05-15T00:00:00.000,2019-04-16T09:12:48.000,2019-06-26T00:45:06.000
185820848,843083351,WA12I,APPLY HOT PATCH,2019-07-14T10:20:00.000,2019-07-14T10:45:00.000,2018-09-27T13:20:14.000,2019-07-16T00:45:12.000
185799468,842945328,SA23,REPAIR BASIN-MINOR,,2019-07-12T00:00:00.000,2018-08-13T12:42:57.000,2019-07-15T00:45:06.000
185923135,843089431,SCC,CLEAN CATCH BASIN/INLET,2019-05-22T12:35:00.000,2019-05-26T14:00:00.000,2019-06-12T10:59:13.000,2019-06-13T00:45:09.000
185923135,843089432,SCC,CLEAN CATCH BASIN/INLET,2019-05-22T12:35:00.000,2019-05-26T14:00:00.000,2019-06-12T10:59:13.000,2019-06-13T00:45:09.000
185053843,842130304,SA25,REPAIR CONNECTION,,2021-02-18T12:06:00.000,2014-08-20T15:58:10.000,2021-02-19T00:45:02.000
185034435,842090157,SA25,REPAIR CONNECTION,,,2014-06-16T10:16:45.000,2019-10-01T00:45:07.000
185052267,842093108,SA25,REPAIR CONNECTION,2016-06-03T12:55:00.000,,2014-06-23T10:17:45.000,2019-10-01T00:45:07.000
185052284,842091221,SA25,REPAIR CONNECTION,,,2014-06-18T13:46:45.000,2019-10-01T00:45:07.000
185766648,842989001,SGS,GUNITE SEWER,2019-05-04T00:00:00.000,2019-05-15T00:00:00.000,2018-11-07T10:44:30.000,2019-06-26T00:45:06.000
185736914,842888887,WA09,REPAIR VALVE- NOTE SIZE,2019-05-28T17:58:00.000,2019-25-28T17:58:00.000,2018-05-03T08:43:26.000,2019-05-29T00:45:03.000
186053175,843188985,WLDSC,SCAN WATER MAINS- LEAK DET.,2019-12-17T08:55:00.000,2019-12-17T11:05:00.000,2019-12-21T09:10:06.000,2019-12-22T00:45:01.000
185879676,843106158,SMPC,POLE CAMERA,2019-07-17T07:17:00.000,2019-07-17T07:17:00.000,2019-07-13T12:22:35.000,2019-08-01T00:45:11.000
185874449,843019975,SA26,REPLACE MANHOLE CASTING,2019-06-23T00:00:00.000,2019-06-23T03:00:00.000,2019-01-28T13:02:01.000,2019-07-29T00:45:11.000
186009674,843140337,WA01A,REPLACE BROKEN MAIN,,2019-11-17T07:00:00.000,2019-09-24T10:57:07.000,2019-11-18T00:45:09.000
185749804,842895473,SA26,REPLACE MANHOLE CASTING,2019-09-16T00:00:00.000,2019-09-16T00:00:00.000,2018-05-19T02:05:13.000,2019-09-18T00:45:10.000
185876700,843024414,SA26,REPLACE MANHOLE CASTING,2019-09-20T08:30:00.000,2019-09-20T10:30:00.000,2019-02-11T13:11:09.000,2019-10-12T00:45:12.000
185971050,843143360,SA12R,CAVE IN RESTORATION,2019-10-01T11:30:00.000,2019-10-02T00:00:00.000,2019-10-01T14:11:43.000,2019-10-07T00:45:09.000
186043776,843169769,SA26,REPLACE MANHOLE CASTING,,,2019-11-20T11:29:42.000,2019-11-22T00:45:09.000
185965235,843120541,SCC,CLEAN CATCH BASIN/INLET,2019-08-23T11:30:00.000,2019-08-23T12:35:00.000,2019-08-25T10:09:17.000,2019-08-26T00:45:09.000
185959047,843184612,SA12R,CAVE IN RESTORATION,2019-07-15T12:40:00.000,,2019-12-09T15:39:54.000,2019-12-10T00:45:02.000
185712301,842883484,SPLATE,Install Steel Plate,,2019-10-22T00:00:00.000,2018-04-25T18:42:23.000,2019-10-31T00:45:07.000
185712301,842883485,SPLATE,Install Steel Plate,,2019-10-22T00:00:00.000,2018-04-25T18:42:23.000,2019-10-31T00:45:07.000
185894624,843059845,WA03,INSTALL TOP SECTION,2019-05-22T08:20:00.000,2019-05-22T09:05:00.000,2019-05-03T11:32:20.000,2019-05-27T00:45:08.000
185185024,842206266,SA26,REPLACE MANHOLE CASTING,2019-08-21T08:00:00.000,2019-08-21T08:00:00.000,2015-01-23T18:29:00.000,2019-08-24T00:45:39.000
185907760,843044772,SA21,REPLACE CURB PIECE,,,2019-03-30T08:01:24.000,2019-06-02T00:45:08.000
185897117,843038747,WA10,RESET/REPLACE VALVE BOX,2019-05-22T16:30:00.000,2019-05-22T20:00:00.000,2019-03-11T15:33:49.000,2019-05-30T00:45:06.000
185801633,843023472,SRB,REPAIR SEWER BREAK (CONTRACT.),2019-05-26T07:00:00.000,2019-06-10T15:00:00.000,2019-02-09T10:37:40.000,2019-06-26T00:45:06.000
185986461,843113610,SSFC,FLUSH PAST HOUSE CONNECTION,2019-08-11T09:45:00.000,2019-08-11T10:30:00.000,2019-08-06T01:42:24.000,2019-08-13T00:45:08.000
185827945,842988416,CCTV,CLOSE CIRCUIT TV,2019-05-14T00:00:00.000,2019-05-14T00:00:00.000,2018-11-05T17:50:56.000,2019-06-10T00:45:08.000
185933186,843084505,SCC,CLEAN CATCH BASIN/INLET,2019-05-29T07:55:00.000,2019-05-29T08:20:00.000,2019-06-01T15:00:57.000,2019-06-02T00:45:08.000
185800990,842990864,SRL,LINE SEWER (CONTRACTOR),9999-04-27T07:00:00.000,2019-05-07T15:00:00.000,2018-11-12T12:00:19.000,2019-05-21T00:45:09.000
185933186,843084506,SCC,CLEAN CATCH BASIN/INLET,2019-05-29T07:55:00.000,2019-05-29T08:20:00.000,2019-06-01T15:00:57.000,2019-06-02T00:45:08.000
